observation_date,RGDPNABRA666NRUG
1960-01-01,285613.437500
1961-01-01,325808.437500
1962-01-01,342662.656250
1963-01-01,364751.375000
1964-01-01,379936.375000
1965-01-01,406417.500000
1966-01-01,422527.406250
1967-01-01,446754.437500
1968-01-01,496790.093750
1969-01-01,528659.875000
1970-01-01,586407.187500
1971-01-01,652905.750000
1972-01-01,730862.687500
1973-01-01,832964.187500
1974-01-01,900850.812500
1975-01-01,947424.812500
1976-01-01,1044630.562500
1977-01-01,1096130.875000
1978-01-01,1150608.500000
1979-01-01,1228389.750000
1980-01-01,1341770.125000
1981-01-01,1284744.750000
1982-01-01,1295408.250000
1983-01-01,1257452.750000
1984-01-01,1325355.250000
1985-01-01,1429382.250000
1986-01-01,1536443.125000
1987-01-01,1590679.500000
1988-01-01,1589725.125000
1989-01-01,1639960.250000
1990-01-01,1568622.125000
1991-01-01,1584778.875000
1992-01-01,1569940.125000
1993-01-01,1645865.500000
1994-01-01,1742186.750000
1995-01-01,1815769.500000
1996-01-01,1854818.125000
1997-01-01,1917423.000000
1998-01-01,1918100.875000
1999-01-01,1922974.125000
2000-01-01,2005781.250000
2001-01-01,2032119.375000
2002-01-01,2086134.875000
2003-01-01,2110055.000000
2004-01-01,2228845.000000
2005-01-01,2300215.500000
2006-01-01,2391349.750000
2007-01-01,2536501.500000
2008-01-01,2665716.000000
2009-01-01,2662362.000000
2010-01-01,2862790.750000
2011-01-01,2976570.000000
2012-01-01,3033755.250000
2013-01-01,3124914.250000
2014-01-01,3140662.250000
2015-01-01,3029301.750000
